Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0043066~negative regulation of apoptotic process	11	19.298245614035086	2.772714052370951E-6	COMP, BMP4, BTG2, SHH, KDM2A, STAT3, UCP2, ID1, SOD2, HIF1A, MCL1	51	566	18082	6.890528649622393	0.0023097750803572348	0.002312443519677373	0.0022930345213107764
UP_KEYWORDS	Ubl conjugation	15	26.31578947368421	1.2498506401792012E-5	NUFIP2, GRIK3, MAPK14, ACVR1B, CORO1A, HIF1A, FOSL2, MLLT11, NEUROD2, LARP1, BCL2L11, ZXDC, ID1, TERF2IP, MCL1	57	1505	22680	3.9657282741738062	0.0014113431666565868	0.0014123312234024974	0.0013873342105989134
KEGG_PATHWAY	mmu04550:Signaling pathways regulating pluripotency of stem cells	6	10.526315789473683	1.6428542209736825E-5	BMP4, STAT3, ID1, LIFR, MAPK14, ACVR1B	20	138	7691	16.719565217391303	0.0013790571070287916	0.0013799975456178933	0.0013799975456178933
GOTERM_BP_DIRECT	GO:0034097~response to cytokine	5	8.771929824561402	7.357177414838695E-5	STAT3, TIMP2, LIFR, CORO1A, MCL1	51	81	18082	21.885741951101426	0.05951644605003148	0.029610012067534715	0.02936148678639234
UP_KEYWORDS	Phosphoprotein	34	59.64912280701754	8.739247757162579E-5	BTG2, NUFIP2, GRIK3, PBXIP1, TRAK1, ACVR1B, HIF1A, GNS, CORO1A, COMP, STK10, TRP53I11, LARP1, BCL2L11, UBTF, EMILIN2, TNS4, PKNOX1, TRIM65, MCL1, KDM2A, SPRY4, STAT3, LIFR, MAPK14, FAM136A, VAV1, FOSL2, MLLT11, BMP4, GPRC5B, PPP1R3B, ASXL2, TERF2IP	57	7617	22680	1.7760825853527082	0.009827176113213043	0.004937674982796857	0.0048502825052252315
GOTERM_BP_DIRECT	GO:0010628~positive regulation of gene expression	8	14.035087719298245	1.0651083477530473E-4	BMP4, SHH, KDM2A, STAT3, ID1, MAPK14, ACVR1B, HIF1A	51	399	18082	7.108752272838959	0.08500325145823862	0.029610012067534715	0.02936148678639234
GOTERM_BP_DIRECT	GO:0045666~positive regulation of neuron differentiation	5	8.771929824561402	1.8697110890675365E-4	BMP4, NEUROD2, SHH, GPRC5B, TIMP2	51	103	18082	17.211117456691415	0.14439673368875083	0.03898347620705814	0.03865627676647131
GOTERM_BP_DIRECT	GO:0006355~regulation of transcription, DNA-templated	17	29.82456140350877	2.7784817946508486E-4	BTG2, KDM2A, STAT3, ZFP617, MAPK14, ACVR1B, HIF1A, ZBTB41, FOSL2, NEUROD2, SHH, ZXDC, ASXL2, ID1, UBTF, TERF2IP, PKNOX1	51	2279	18082	2.644727219540734	0.20686162729405744	0.04634507633477616	0.04595608888352504
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	11	19.298245614035086	3.3385573576155333E-4	BMP4, NEUROD2, SHH, AUTS2, STAT3, ASXL2, MAPK14, PKNOX1, ACVR1B, HIF1A, FOSL2	51	995	18082	3.919637402699774	0.24306823828102087	0.04640594727085591	0.046016448912467436
GOTERM_BP_DIRECT	GO:0045893~positive regulation of transcription, DNA-templated	8	14.035087719298245	9.762169642208912E-4	MLLT11, BMP4, SHH, STAT3, ZXDC, PKNOX1, HIF1A, FOSL2	51	576	18082	4.924291938997821	0.5571670233020563	0.11630927830860331	0.11533306134438243
UP_KEYWORDS	Transcription regulation	13	22.807017543859647	0.0012508975754628557	BTG2, KDM2A, STAT3, MAPK14, HIF1A, ZBTB41, FOSL2, NEUROD2, ZXDC, ASXL2, ID1, UBTF, TERF2IP	57	1799	22680	2.8752815891869754	0.13189265959013186	0.046843925093555616	0.046014829074200646
GOTERM_BP_DIRECT	GO:0045648~positive regulation of erythrocyte differentiation	3	5.263157894736842	0.0015216779562597642	MAPK14, ACVR1B, HIF1A	51	21	18082	50.649859943977596	0.7191812852959746	0.1548361213144282	0.1535365375623886
UP_KEYWORDS	Transcription	13	22.807017543859647	0.0016581920387099332	BTG2, KDM2A, STAT3, MAPK14, HIF1A, ZBTB41, FOSL2, NEUROD2, ZXDC, ASXL2, ID1, UBTF, TERF2IP	57	1859	22680	2.7824806772175195	0.17099676766025806	0.046843925093555616	0.046014829074200646
GOTERM_BP_DIRECT	GO:1902895~positive regulation of pri-miRNA transcription from RNA polymerase II promoter	3	5.263157894736842	0.0016708933954794408	BMP4, STAT3, HIF1A	51	22	18082	48.347593582887704	0.7520902737765125	0.1548361213144282	0.1535365375623886
GOTERM_MF_DIRECT	GO:0046983~protein dimerization activity	5	8.771929824561402	0.001969749950052232	NEUROD2, STAT3, ID1, HIF1A, MCL1	50	190	17446	9.182105263157894	0.2819702907960998	0.26101501244903064	0.26101501244903064
GOTERM_BP_DIRECT	GO:0060425~lung morphogenesis	3	5.263157894736842	0.0019893577127513377	BMP4, SHH, ID1	51	24	18082	44.318627450980394	0.8100086663603555	0.16591243324346158	0.16451988284453564
GOTERM_BP_DIRECT	GO:0001944~vasculature development	3	5.263157894736842	0.0023342897395112676	BMP4, SHH, HIF1A	51	26	18082	40.90950226244344	0.8575940332872997	0.17698160388658155	0.17549614677961986
GOTERM_MF_DIRECT	GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding	4	7.017543859649122	0.0031073215767741746	NEUROD2, STAT3, PKNOX1, HIF1A	50	104	17446	13.42	0.407167135174466	0.26101501244903064	0.26101501244903064
GOTERM_BP_DIRECT	GO:0009791~post-embryonic development	4	7.017543859649122	0.003856266292301172	BMP4, BCL2L11, CYP1A2, SOD2	51	114	18082	12.44031647746818	0.9601384546479007	0.2660796014502217	0.26384631942366105
KEGG_PATHWAY	mmu04068:FoxO signaling pathway	4	7.017543859649122	0.0040852824717105525	BCL2L11, STAT3, SOD2, MAPK14	20	134	7691	11.47910447761194	0.29097649661754676	0.1715818638118432	0.1715818638118432
GOTERM_BP_DIRECT	GO:0001525~angiogenesis	5	8.771929824561402	0.004257676851274146	BMP4, SHH, MAPK14, PKNOX1, HIF1A	51	239	18082	7.417343506440233	0.9715180098804417	0.2660796014502217	0.26384631942366105
GOTERM_BP_DIRECT	GO:0006351~transcription, DNA-templated	13	22.807017543859647	0.004466564053121227	BTG2, KDM2A, STAT3, MAPK14, HIF1A, ZBTB41, FOSL2, NEUROD2, ZXDC, ASXL2, ID1, UBTF, TERF2IP	51	1885	18082	2.4451656524678835	0.9760900002249455	0.2660796014502217	0.26384631942366105
GOTERM_BP_DIRECT	GO:0007507~heart development	5	8.771929824561402	0.005805240452648331	BMP4, SHH, ASXL2, ID1, SOD2	51	261	18082	6.792126812410788	0.9922159491717253	0.31911126096425146	0.3164328690856546
GOTERM_BP_DIRECT	GO:0010629~negative regulation of gene expression	5	8.771929824561402	0.006122038579649908	BMP4, SHH, KDM2A, ID1, ACVR1B	51	265	18082	6.6896041435442095	0.9940327741927094	0.31911126096425146	0.3164328690856546
GOTERM_BP_DIRECT	GO:0010942~positive regulation of cell death	3	5.263157894736842	0.007794018718431175	BMP4, BCL2L11, UCP2	51	48	18082	22.159313725490197	0.998534670860403	0.38236538889244703	0.37915608706721066
UP_KEYWORDS	Isopeptide bond	8	14.035087719298245	0.008730538037149651	LARP1, NUFIP2, ZXDC, GRIK3, TERF2IP, HIF1A, MCL1, FOSL2	57	953	22680	3.34014469542166	0.6287511137378508	0.19731015963958212	0.19381794442472225
GOTERM_BP_DIRECT	GO:0008630~intrinsic apoptotic signaling pathway in response to DNA damage	3	5.263157894736842	0.009784010762699557	BCL2L11, SOD2, MCL1	51	54	18082	19.697167755991284	0.9997253588929554	0.43155830200389	0.42793611002064397
GOTERM_BP_DIRECT	GO:0043524~negative regulation of neuron apoptotic process	4	7.017543859649122	0.009831663954525073	BTG2, SOD2, CORO1A, HIF1A	51	160	18082	8.863725490196078	0.999736163718055	0.43155830200389	0.42793611002064397
GOTERM_MF_DIRECT	GO:0005515~protein binding	20	35.08771929824561	0.011790506561649337	BTG2, AUTS2, SPRY4, STAT3, GRIK3, LIFR, MAPK14, ACVR1B, CORO1A, HIF1A, VAV1, BMP4, NEUROD2, SHH, BCL2L11, ID1, UBTF, TERF2IP, PKNOX1, MCL1	50	4092	17446	1.7053763440860215	0.8636561203064355	0.6602683674523628	0.6602683674523628
UP_SEQ_FEATURE	short sequence motif:Nuclear localization signal	5	8.771929824561402	0.012109055853160189	NEUROD2, ASXL2, TERF2IP, PBXIP1, HIF1A	48	343	18012	5.470116618075802	0.9244370474770106	1.0	1.0
GOTERM_BP_DIRECT	GO:0007568~aging	4	7.017543859649122	0.012138676312693518	STAT3, UCP2, TIMP2, SOD2	51	173	18082	8.197665193244928	0.9999622906219419	0.4410950860953714	0.4373928491617171
GOTERM_BP_DIRECT	GO:0001947~heart looping	3	5.263157894736842	0.012749019170399703	SHH, KDM2A, HIF1A	51	62	18082	17.155597722960152	0.9999774785361865	0.4410950860953714	0.4373928491617171
GOTERM_BP_DIRECT	GO:0042475~odontogenesis of dentin-containing tooth	3	5.263157894736842	0.013143972167357491	BMP4, SHH, BCL2L11	51	63	18082	16.88328664799253	0.9999838687625359	0.4410950860953714	0.4373928491617171
GOTERM_BP_DIRECT	GO:0000303~response to superoxide	2	3.508771929824561	0.013751165753572728	UCP2, SOD2	51	5	18082	141.81960784313725	0.9999903451973581	0.4410950860953714	0.4373928491617171
GOTERM_BP_DIRECT	GO:0060684~epithelial-mesenchymal cell signaling	2	3.508771929824561	0.013751165753572728	BMP4, SHH	51	5	18082	141.81960784313725	0.9999903451973581	0.4410950860953714	0.4373928491617171
GOTERM_BP_DIRECT	GO:0032364~oxygen homeostasis	2	3.508771929824561	0.013751165753572728	SOD2, HIF1A	51	5	18082	141.81960784313725	0.9999903451973581	0.4410950860953714	0.4373928491617171
GOTERM_BP_DIRECT	GO:0060438~trachea development	2	3.508771929824561	0.013751165753572728	BMP4, SHH	51	5	18082	141.81960784313725	0.9999903451973581	0.4410950860953714	0.4373928491617171
GOTERM_BP_DIRECT	GO:0001666~response to hypoxia	4	7.017543859649122	0.016027060655354846	UCP2, SOD2, HIF1A, FOSL2	51	192	18082	7.386437908496732	0.9999985941105576	0.49084106291932716	0.4867212938060954
GOTERM_BP_DIRECT	GO:2001054~negative regulation of mesenchymal cell apoptotic process	2	3.508771929824561	0.016479076452927052	SHH, HIF1A	51	6	18082	118.18300653594771	0.9999990416472508	0.49084106291932716	0.4867212938060954
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	12	21.052631578947366	0.016804034479905652	LARP1, KDM2A, BTAF1, STAT3, DPH3, ASXL2, ID1, TERF2IP, MAPK14, PKNOX1, MCL1, FOSL2	56	1935	19662	2.177408637873754	0.7966855473610892	1.0	1.0
KEGG_PATHWAY	mmu04350:TGF-beta signaling pathway	3	5.263157894736842	0.018273078723482734	BMP4, ID1, ACVR1B	20	85	7691	13.57235294117647	0.7875685343798049	0.5116462042575165	0.5116462042575165
UP_KEYWORDS	Activator	6	10.526315789473683	0.01870985203456256	NEUROD2, STAT3, ZXDC, UBTF, TERF2IP, HIF1A	57	624	22680	3.825910931174089	0.8816657228902512	0.34930918248040105	0.34312671907366826
GOTERM_BP_DIRECT	GO:0002320~lymphoid progenitor cell differentiation	2	3.508771929824561	0.019199592395738686	BMP4, SHH	51	7	18082	101.29971988795518	0.9999999048843876	0.5296494968148184	0.5252039974410729
GOTERM_BP_DIRECT	GO:0060442~branching involved in prostate gland morphogenesis	2	3.508771929824561	0.019199592395738686	BMP4, SHH	51	7	18082	101.29971988795518	0.9999999048843876	0.5296494968148184	0.5252039974410729
GOTERM_BP_DIRECT	GO:0043010~camera-type eye development	3	5.263157894736842	0.019687211512301406	BMP4, SHH, PKNOX1	51	78	18082	13.636500754147812	0.999999937174889	0.5296494968148184	0.5252039974410729
GOTERM_BP_DIRECT	GO:0008285~negative regulation of cell proliferation	5	8.771929824561402	0.02140991569693178	BMP4, BTG2, STAT3, TIMP2, SOD2	51	384	18082	4.616523692810458	0.9999999855097363	0.5537945304375281	0.5491463749062779
UP_KEYWORDS	Nucleus	19	33.33333333333333	0.021638621923564666	KDM2A, NUFIP2, STAT3, PBXIP1, MAPK14, TRAK1, HIF1A, ZBTB41, FOSL2, MLLT11, NEUROD2, ZXDC, DPH3, ASXL2, ID1, UBTF, TERF2IP, PKNOX1, MCL1	57	4534	22680	1.667401852668725	0.9155847499396632	0.34930918248040105	0.34312671907366826
GOTERM_BP_DIRECT	GO:0021978~telencephalon regionalization	2	3.508771929824561	0.02191273321875111	BMP4, SHH	51	8	18082	88.63725490196079	0.9999999905610727	0.5537945304375281	0.5491463749062779
GOTERM_MF_DIRECT	GO:0019899~enzyme binding	5	8.771929824561402	0.022487702174258745	PPP1R3B, CYP1A2, SOD2, MAPK14, HIF1A	50	384	17446	4.543229166666667	0.9780954359416896	0.9444834913188673	0.9444834913188673
UP_SEQ_FEATURE	domain:SH2	3	5.263157894736842	0.024525350437494025	STAT3, TNS4, VAV1	48	93	18012	12.10483870967742	0.9948264416185297	1.0	1.0
GOTERM_BP_DIRECT	GO:0050665~hydrogen peroxide biosynthetic process	2	3.508771929824561	0.02461851850861496	CYP1A2, SOD2	51	9	18082	78.78867102396514	0.9999999990634351	0.6001138523301272	0.5950769255120085
GOTERM_BP_DIRECT	GO:0007417~central nervous system development	3	5.263157894736842	0.025184634090592864	SHH, TIMP2, ACVR1B	51	89	18082	11.951090548578982	0.9999999994228967	0.6001138523301272	0.5950769255120085
GOTERM_BP_DIRECT	GO:0070244~negative regulation of thymocyte apoptotic process	2	3.508771929824561	0.027316967801225632	BMP4, HIF1A	51	10	18082	70.90980392156862	0.9999999999070825	0.615739220168167	0.6105711451787459
GOTERM_BP_DIRECT	GO:0032963~collagen metabolic process	2	3.508771929824561	0.027316967801225632	ID1, HIF1A	51	10	18082	70.90980392156862	0.9999999999070825	0.615739220168167	0.6105711451787459
UP_KEYWORDS	SH2 domain	3	5.263157894736842	0.027798557224013337	STAT3, TNS4, VAV1	57	105	22680	11.368421052631579	0.9586517131316267	0.3794749222140692	0.3727585519093954
GOTERM_MF_DIRECT	GO:0003677~DNA binding	11	19.298245614035086	0.030366565362347855	NEUROD2, KDM2A, STAT3, ASXL2, UBTF, TERF2IP, SOD2, PKNOX1, HIF1A, ZBTB41, FOSL2	50	1847	17446	2.0780292365998916	0.9943756307227313	1.0	1.0
GOTERM_BP_DIRECT	GO:0032355~response to estradiol	3	5.263157894736842	0.03180613098503822	STAT3, CYP1A2, FOSL2	51	101	18082	10.531158998252767	0.9999999999980386	0.6980608747768914	0.6922018506480686
UP_KEYWORDS	Apoptosis	5	8.771929824561402	0.032514376564383385	COMP, BCL2L11, MAPK14, TNS4, MCL1	57	489	22680	4.068453341943816	0.9761311888864637	0.3794749222140692	0.3727585519093954
INTERPRO	IPR000980:SH2 domain	3	5.263157894736842	0.03311401396363123	STAT3, TNS4, VAV1	53	113	20594	10.31591250626148	0.9978207936871253	1.0	1.0
