Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Phosphoprotein	51	56.043956043956044	9.741871030212642E-6	HSPB6, ETS2, BICD2, KIF15, PPP3CA, ALKBH5, CCND1, FGFR1OP2, TAGAP, CEP170B, SOX6, ENPP6, MEF2C, GAS2L3, NUP133, CD300A, AGTRAP, UNC5C, FNDC3A, CRAMP1L, RASA2, LCP2, ULK1, SF1, PRICKLE2, NEDD4L, FOXK1, CPLX2, NEURL1B, NEU3, TMEM245, FAM168B, BRIP1, INPP5D, E2F1, NCAM1, IGF2BP3, DMD, NCAM2, TCF7L2, IL10RB, PBX2, XPO7, CPEB1, ZZZ3, CPD, BCL2, CD28, CD69, GLA, METAP2	90	7617	22680	1.6872784560850729	0.0014504928707606002	0.0014515387835016837	0.0014320550414412584
GOTERM_MF_DIRECT	GO:0005515~protein binding	33	36.26373626373626	1.7688617240547424E-4	SERPINE1, PRICKLE2, LRP4, NEDD4L, FOXK1, EFNA5, BICD2, PPP3CA, NEURL1B, CCND1, INPP5D, E2F1, IGF2BP3, DMD, NCAM1, SOX6, TCF7L2, MEF2C, CD300A, IL10RB, PBX2, XPO7, FZD8, UNC5C, TYR, FOXP2, VEGFA, MORF4L1, CPEB1, BCL2, ULK1, LCP2, METAP2	76	4092	17446	1.8512308998302207	0.0376602254122298	0.03838429941198791	0.03838429941198791
KEGG_PATHWAY	mmu05219:Bladder cancer	4	4.395604395604396	0.0010422082299848517	CCND1, E2F1, MMP9, VEGFA	39	41	7691	19.239524702939338	0.1203739982996419	0.12819161228813675	0.12819161228813675
INTERPRO	IPR003961:Fibronectin, type III	6	6.593406593406594	0.0017252857745844981	IL10RB, IFNGR2, IL5RA, NCAM1, NCAM2, FNDC3A	85	211	20594	6.889545581265682	0.33699492816912047	0.41061801435111056	0.41061801435111056
GOTERM_BP_DIRECT	GO:0001568~blood vessel development	4	4.395604395604396	0.0037057611659311873	TCF7L2, MEF2C, CHM, VEGFA	80	71	18082	12.73380281690141	0.9613139647485067	0.8588970710713838	0.8588970710713838
GOTERM_BP_DIRECT	GO:0030279~negative regulation of ossification	3	3.296703296703297	0.0037503981468417665	MEF2C, BCL2, LRP4	80	21	18082	32.28928571428572	0.9628029159457865	0.8588970710713838	0.8588970710713838
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	12	13.186813186813188	0.0038666548858433607	TCF7L2, PPP3CA, MEF2C, MCIDAS, P2RY1, E2F1, CD28, FZD8, PBX2, SOX6, ETS2, VEGFA	80	995	18082	2.725929648241206	0.9664176670888747	0.8588970710713838	0.8588970710713838
GOTERM_BP_DIRECT	GO:0035690~cellular response to drug	4	4.395604395604396	0.00432382650474169	PPP3CA, MEF2C, SERPINE1, CD69	80	75	18082	12.054666666666668	0.9775369674198007	0.8588970710713838	0.8588970710713838
KEGG_PATHWAY	mmu04310:Wnt signaling pathway	5	5.4945054945054945	0.004926888349847476	TCF7L2, PPP3CA, CCND1, PRICKLE2, FZD8	39	141	7691	6.99308965266412	0.45529180718982276	0.30300363351561976	0.30300363351561976
UP_KEYWORDS	Glycoprotein	26	28.57142857142857	0.005312547738195117	SERPINE1, IL5RA, LRP4, EFNA5, SLC1A7, TMEM245, P2RY1, NCAM1, NCAM2, ENPP6, CD300A, IL10RB, ST8SIA3, FZD8, UNC5C, TYR, MMP9, ZPBP, VEGFA, TMEM236, CPD, CD28, CD69, GLA, ITGA9, METAP2	90	3815	22680	1.7174311926605503	0.5478221555368772	0.3957848064955362	0.3904722587573411
GOTERM_MF_DIRECT	GO:0043565~sequence-specific DNA binding	9	9.89010989010989	0.005717099779917475	TCF7L2, MEF2C, E2F1, BCL2, PBX2, FOXK1, SOX6, ETS2, FOXP2	76	633	17446	3.263781491643801	0.7118201672536473	0.4723337610093072	0.4723337610093072
UP_SEQ_FEATURE	mutagenesis site	10	10.989010989010989	0.006042506231585518	PPP3CA, MEF2C, CPEB1, CD300A, INPP5D, RASA2, FZD8, NEDD4L, UNC5C, FOXP2	79	772	18012	2.9533678756476682	0.8815677591377584	1.0	1.0
GOTERM_BP_DIRECT	GO:0010629~negative regulation of gene expression	6	6.593406593406594	0.006077483094161898	PPP3CA, BRIP1, MEF2C, SERPINE1, CD28, VEGFA	80	265	18082	5.117547169811321	0.9952046995742545	0.8588970710713838	0.8588970710713838
GOTERM_MF_DIRECT	GO:0046982~protein heterodimerization activity	8	8.791208791208792	0.0065299598296217586	PPP3CA, MEF2C, P2RY1, BCL2, SOX6, TYR, FOXP2, VEGFA	76	514	17446	3.572803604341593	0.7586840005676534	0.4723337610093072	0.4723337610093072
GOTERM_BP_DIRECT	GO:0051028~mRNA transport	4	4.395604395604396	0.006747871118974668	CPEB1, NUP133, XPO7, IGF2BP3	80	88	18082	10.273863636363638	0.9973446241318963	0.8588970710713838	0.8588970710713838
INTERPRO	IPR009138:Neural cell adhesion	2	2.197802197802198	0.00814127601999773	NCAM1, NCAM2	85	2	20594	242.28235294117647	0.8570919881265275	0.96881184637973	0.96881184637973
GOTERM_BP_DIRECT	GO:0001934~positive regulation of protein phosphorylation	5	5.4945054945054945	0.00861884525067353	CCND1, P2RY1, FZD8, MMP9, VEGFA	80	184	18082	6.141983695652174	0.9994908832602809	0.8588970710713838	0.8588970710713838
UP_SEQ_FEATURE	chain:T-cell activation GTPase-activating protein 1	2	2.197802197802198	0.008642379364397844	TAGAP1, TAGAP	79	2	18012	228.0	0.9528932669920602	1.0	1.0
UP_SEQ_FEATURE	chain:T-cell activation Rho GTPase-activating protein	2	2.197802197802198	0.008642379364397844	TAGAP1, TAGAP	79	2	18012	228.0	0.9528932669920602	1.0	1.0
GOTERM_BP_DIRECT	GO:0051897~positive regulation of protein kinase B signaling	4	4.395604395604396	0.008816229281690112	TCF7L2, CD28, VEGFA, TSPYL5	80	97	18082	9.320618556701032	0.9995723742751761	0.8588970710713838	0.8588970710713838
GOTERM_BP_DIRECT	GO:0071310~cellular response to organic substance	3	3.296703296703297	0.009115693185402661	CCND1, BCL2, IL5RA	80	33	18082	20.547727272727272	0.9996718257775107	0.8588970710713838	0.8588970710713838
KEGG_PATHWAY	mmu05215:Prostate cancer	4	4.395604395604396	0.009147460430661305	TCF7L2, CCND1, E2F1, BCL2	39	88	7691	8.963869463869463	0.6770685825561723	0.3358321970477834	0.3358321970477834
GOTERM_BP_DIRECT	GO:0071456~cellular response to hypoxia	4	4.395604395604396	0.010379738394761412	CPEB1, E2F1, BCL2, VEGFA	80	103	18082	8.777669902912622	0.9998927308659435	0.8588970710713838	0.8588970710713838
GOTERM_BP_DIRECT	GO:0040007~growth	3	3.296703296703297	0.010785237193818745	BCL2, FOXP2, VEGFA	80	36	18082	18.835416666666664	0.9999250872045198	0.8588970710713838	0.8588970710713838
UP_KEYWORDS	Activator	8	8.791208791208792	0.011389596481146205	TCF7L2, MEF2C, CPEB1, MCIDAS, E2F1, PBX2, FOXK1, SOX6	90	624	22680	3.230769230769231	0.8185523772890141	0.4267707465870326	0.4210422801898912
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	39	42.857142857142854	0.0118213047159249	HSPB6, SERPINE1, PRICKLE2, NEDD4L, CHM, CPLX2, ETS2, BICD2, KIF15, PPP3CA, NEURL1B, NEU3, FAM168B, BRIP1, CCND1, INPP5D, FGFR1OP2, CEP170B, E2F1, IGF2BP3, DMD, NCAM1, MBNL3, TCF7L2, MEF2C, GAS2L3, AGTRAP, XPO7, TYR, VEGFA, CPEB1, RASA2, BCL2, ULK1, LCP2, MCTP2, GLA, SF1, METAP2	83	6631	19662	1.3932696553064923	0.8195694601332884	1.0	1.0
BIOCARTA	m_p53Pathway:p53 Signaling Pathway	3	3.296703296703297	0.012056571115799072	CCND1, E2F1, BCL2	15	16	1289	16.1125	0.5342843333776872	0.7475074091795425	0.7475074091795425
KEGG_PATHWAY	mmu05200:Pathways in cancer	7	7.6923076923076925	0.012065311422650906	TCF7L2, CCND1, E2F1, BCL2, FZD8, MMP9, VEGFA	39	395	7691	3.494774423888348	0.7753156242572038	0.3358321970477834	0.3358321970477834
UP_KEYWORDS	Differentiation	8	8.791208791208792	0.013568179820573761	ALKBH5, MEF2C, LRP4, NEDD4L, FOXK1, EFNA5, CPLX2, VEGFA	90	646	22680	3.1207430340557276	0.8693847426628891	0.4267707465870326	0.4210422801898912
GOTERM_BP_DIRECT	GO:0009791~post-embryonic development	4	4.395604395604396	0.013640291130836311	TCF7L2, BCL2, SOX6, FOXP2	80	114	18082	7.930701754385965	0.9999940441519743	0.952088509797434	0.952088509797434
KEGG_PATHWAY	mmu04066:HIF-1 signaling pathway	4	4.395604395604396	0.013651715327145665	IFNGR2, SERPINE1, BCL2, VEGFA	39	102	7691	7.733534439416792	0.8156147746087319	0.3358321970477834	0.3358321970477834
INTERPRO	IPR011991:Winged helix-turn-helix DNA-binding domain	5	5.4945054945054945	0.0139621946549891	E2F1, FOXK1, ETS2, FOXP2, METAP2	85	227	20594	5.336615703550142	0.9647897747728756	1.0	1.0
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	9	9.89010989010989	0.014129167382838632	TCF7L2, MEF2C, CCND1, E2F1, FZD8, SOX6, ETS2, FOXP2, VEGFA	80	729	18082	2.7904320987654323	0.9999961422347864	0.952088509797434	0.952088509797434
UP_KEYWORDS	Developmental protein	10	10.989010989010989	0.014321165992853444	MEF2C, FZD8, LRP4, FOXK1, UNC5C, MBNL3, MCTP2, SOX6, EFNA5, VEGFA	90	976	22680	2.581967213114754	0.8834320409108202	0.4267707465870326	0.4210422801898912
GOTERM_BP_DIRECT	GO:0008283~cell proliferation	5	5.4945054945054945	0.015751591307118562	MORF4L1, TCF7L2, BCL2, TYR, VEGFA	80	220	18082	5.136931818181818	0.9999990885436713	0.9855995703597042	0.9855995703597042
UP_SEQ_FEATURE	domain:Fibronectin type-III 2	4	4.395604395604396	0.016658187549948814	IL10RB, NCAM1, NCAM2, FNDC3A	79	124	18012	7.35483870967742	0.9972961279050806	1.0	1.0
GOTERM_CC_DIRECT	GO:0016020~membrane	40	43.956043956043956	0.016901920530205422	SLC35D2, PRICKLE2, IL5RA, LRP4, EFNA5, SLC1A7, KIF15, TMEM69, PPP3CA, NEU3, FAM168B, TMEM245, CCND1, INPP5D, P2RY1, DMD, NCAM1, NCAM2, ENPP6, TMEM184C, NUP133, CD300A, IL10RB, ST8SIA3, AGTRAP, FZD8, UNC5C, FNDC3A, TYR, VEGFA, CPEB1, TMEM236, CPD, RASA2, CD28, BCL2, ULK1, CD69, MCTP2, ITGA9	83	6998	19662	1.354052965218978	0.9141093148785882	1.0	1.0
UP_SEQ_FEATURE	domain:Fibronectin type-III 1	4	4.395604395604396	0.017015639531737792	IL10RB, NCAM1, NCAM2, FNDC3A	79	125	18012	7.296	0.9976209363071834	1.0	1.0
UP_KEYWORDS	GPI-anchor	4	4.395604395604396	0.01777404242913585	NCAM1, NCAM2, ENPP6, EFNA5	90	140	22680	7.200000000000001	0.9308965597449377	0.4413887203235402	0.4354640395138283
GOTERM_BP_DIRECT	GO:0045599~negative regulation of fat cell differentiation	3	3.296703296703297	0.01867101012977683	TCF7L2, E2F1, VEGFA	80	48	18082	14.1265625	0.9999999324516481	1.0	1.0
GOTERM_MF_DIRECT	GO:0042803~protein homodimerization activity	9	9.89010989010989	0.02097161404704158	HSPB6, FGFR1OP2, CD28, BCL2, LRP4, TYR, GLA, FOXP2, VEGFA	76	798	17446	2.5889394538979027	0.9899404949962329	1.0	1.0
GOTERM_CC_DIRECT	GO:0031225~anchored component of membrane	4	4.395604395604396	0.021182372157271163	NCAM1, NCAM2, ENPP6, EFNA5	83	141	19662	6.720328120994617	0.9541798377856049	1.0	1.0
UP_KEYWORDS	Alternative splicing	28	30.76923076923077	0.02528475155356328	SLC35D2, LRP4, NEDD4L, EFNA5, BICD2, PPP3CA, INPP5D, FGFR1OP2, CEP170B, DMD, NCAM1, NCAM2, SOX6, TCF7L2, TMEM184C, MEF2C, CD300A, XPO7, UNC5C, FOXP2, VEGFA, MORF4L1, ARMC2, ZZZ3, BCL2, RBM41, FAM161B, SF1	90	4779	22680	1.4764595103578155	0.9779815738479105	0.5382039973544184	0.5309797826248289
