psLayout version 3

match	mis- 	rep. 	N's	Q gap	Q gap	T gap	T gap	strand	Q        	Q   	Q    	Q  	T        	T   	T    	T  	block	blockSizes 	qStarts	 tStarts
     	match	match	   	count	bases	count	bases	      	name     	size	start	end	name     	size	start	end	count
---------------------------------------------------------------------------------------------------------------------------------------------------------------
21	0	0	0	0	0	0	0	+	1-4041524	21	0	21	mmu-mir-302d	66	41	62	1	21,	0,	41,
20	1	0	0	0	0	0	0	+	1-4041524	21	0	21	mmu-mir-302b	74	47	68	1	21,	0,	47,
17	0	0	0	0	0	0	0	+	1-4041524	21	0	17	mmu-mir-302a	69	43	60	1	17,	0,	43,
21	0	0	0	0	0	0	0	+	2-2553113	21	0	21	mmu-mir-292	82	50	71	1	21,	0,	50,
20	0	0	0	0	0	0	0	+	3-1961375	20	0	20	mmu-mir-293	80	47	67	1	20,	0,	47,
20	0	0	0	0	0	0	0	+	4-1633767	20	0	20	mmu-mir-294	84	50	70	1	20,	0,	50,
20	0	0	0	0	0	0	0	+	5-1603117	20	0	20	mmu-mir-22	95	56	76	1	20,	0,	56,
22	0	0	0	0	0	0	0	+	6-972945	22	0	22	mmu-mir-292	82	49	71	1	22,	0,	49,
19	2	0	0	0	0	0	0	+	8-636100	21	0	21	mmu-mir-195	94	20	41	1	21,	0,	20,
21	0	0	0	0	0	0	0	+	8-636100	21	0	21	mmu-mir-16-2	95	16	37	1	21,	0,	16,
21	0	0	0	0	0	0	0	+	8-636100	21	0	21	mmu-mir-16-1	93	15	36	1	21,	0,	15,
19	0	0	0	0	0	0	0	+	11-297082	19	0	19	mmu-mir-302d	66	43	62	1	19,	0,	43,
18	1	0	0	0	0	0	0	+	11-297082	19	0	19	mmu-mir-302c	68	44	63	1	19,	0,	44,
18	1	0	0	0	0	0	0	+	11-297082	19	0	19	mmu-mir-302b	74	49	68	1	19,	0,	49,
20	0	0	0	0	0	0	0	+	12-247923	20	0	20	mmu-mir-302d	66	42	62	1	20,	0,	42,
19	1	0	0	0	0	0	0	+	12-247923	20	0	20	mmu-mir-302c	68	43	63	1	20,	0,	43,
19	1	0	0	0	0	0	0	+	12-247923	20	0	20	mmu-mir-302b	74	48	68	1	20,	0,	48,
16	0	0	0	0	0	0	0	+	12-247923	20	0	16	mmu-mir-302a	69	44	60	1	16,	0,	44,
21	0	0	0	0	0	0	0	+	13-236132	21	0	21	mmu-mir-24-2	107	60	81	1	21,	0,	60,
21	0	0	0	0	0	0	0	+	13-236132	21	0	21	mmu-mir-24-1	68	43	64	1	21,	0,	43,
21	0	0	0	0	0	0	0	+	14-222299	21	0	21	mmu-mir-295	69	42	63	1	21,	0,	42,
19	1	0	0	0	0	0	0	+	16-210043	20	0	20	mmu-mir-26b	85	14	34	1	20,	0,	14,
20	0	0	0	0	0	0	0	+	16-210043	20	0	20	mmu-mir-26a-2	84	13	33	1	20,	0,	13,
20	0	0	0	0	0	0	0	+	16-210043	20	0	20	mmu-mir-26a-1	90	15	35	1	20,	0,	15,
20	0	0	0	0	0	0	0	+	17-201553	20	0	20	mmu-mir-21	92	17	37	1	20,	0,	17,
20	0	0	0	0	0	0	0	+	18-164930	20	0	20	mmu-mir-24-2	107	60	80	1	20,	0,	60,
20	0	0	0	0	0	0	0	+	18-164930	20	0	20	mmu-mir-24-1	68	43	63	1	20,	0,	43,
17	0	0	0	0	0	0	0	+	20-151883	20	0	17	mmu-mir-302d	66	41	58	1	17,	0,	41,
19	1	0	0	0	0	0	0	+	20-151883	20	0	20	mmu-mir-302b	74	47	67	1	20,	0,	47,
20	0	0	0	0	0	0	0	+	20-151883	20	0	20	mmu-mir-302a	69	43	63	1	20,	0,	43,
17	0	0	0	0	0	0	0	+	21-130129	21	0	17	mmu-mir-302d	66	41	58	1	17,	0,	41,
20	1	0	0	0	0	0	0	+	21-130129	21	0	21	mmu-mir-302b	74	47	68	1	21,	0,	47,
21	0	0	0	0	0	0	0	+	21-130129	21	0	21	mmu-mir-302a	69	43	64	1	21,	0,	43,
19	0	0	0	0	0	0	0	+	22-123320	19	0	19	mmu-mir-379	66	5	24	1	19,	0,	5,
20	0	0	0	0	0	0	0	+	23-115447	20	0	20	mmu-mir-429	83	50	70	1	20,	0,	50,
17	1	0	0	0	0	0	0	+	23-115447	20	0	18	mmu-mir-200b	70	44	62	1	18,	0,	44,
21	0	0	0	0	0	0	0	+	26-80077	21	0	21	mmu-mir-292	82	49	70	1	21,	0,	49,
21	0	0	0	0	0	0	0	+	27-74540	21	0	21	mmu-mir-21	92	17	38	1	21,	0,	17,
20	0	0	0	0	0	0	0	+	28-73781	20	0	20	mmu-mir-16-2	95	16	36	1	20,	0,	16,
20	0	0	0	0	0	0	0	+	28-73781	20	0	20	mmu-mir-16-1	93	15	35	1	20,	0,	15,
20	1	0	0	0	0	0	0	+	30-66400	21	0	21	mmu-mir-302d	66	41	62	1	21,	0,	41,
21	0	0	0	0	0	0	0	+	30-66400	21	0	21	mmu-mir-302b	74	47	68	1	21,	0,	47,
20	1	0	0	0	0	0	0	+	30-66400	21	0	21	mmu-mir-302a	69	43	64	1	21,	0,	43,
20	0	0	0	0	0	0	0	+	31-65877	20	0	20	mmu-mir-292	82	49	69	1	20,	0,	49,
19	0	0	0	0	0	0	0	+	32-63352	19	0	19	mmu-mir-376c	86	52	71	1	19,	0,	52,
20	0	0	0	0	0	0	0	+	34-61792	20	0	20	mmu-mir-302d	66	41	61	1	20,	0,	41,
19	1	0	0	0	0	0	0	+	34-61792	20	0	20	mmu-mir-302b	74	47	67	1	20,	0,	47,
17	0	0	0	0	0	0	0	+	34-61792	20	0	17	mmu-mir-302a	69	43	60	1	17,	0,	43,
20	0	0	0	0	0	0	0	+	35-60505	20	0	20	mmu-mir-130b	82	50	70	1	20,	0,	50,
18	2	0	0	0	0	0	0	+	35-60505	20	0	20	mmu-mir-130a	64	41	61	1	20,	0,	41,
20	0	0	0	0	0	0	0	+	36-60204	20	0	20	mmu-mir-130a	64	41	61	1	20,	0,	41,
21	0	0	0	0	0	0	0	+	38-45973	21	0	21	mmu-mir-20a	107	26	47	1	21,	0,	26,
18	1	0	0	0	0	0	0	+	39-45817	19	0	19	mmu-mir-302d	66	41	60	1	19,	0,	41,
19	0	0	0	0	0	0	0	+	39-45817	19	0	19	mmu-mir-302b	74	47	66	1	19,	0,	47,
18	0	0	0	0	0	0	0	+	39-45817	19	0	18	mmu-mir-302a	69	43	61	1	18,	0,	43,
20	0	0	0	0	0	0	0	+	42-42026	20	0	20	mmu-mir-295	69	43	63	1	20,	0,	43,
19	0	0	0	0	0	0	0	+	43-36144	19	0	19	mmu-mir-674	100	24	43	1	19,	0,	24,
21	0	0	0	0	0	0	0	+	44-35641	21	0	21	mmu-mir-421	76	44	65	1	21,	0,	44,
19	0	0	0	0	0	0	0	+	45-34863	19	0	19	mmu-mir-293	80	47	66	1	19,	0,	47,
20	0	0	0	0	0	0	0	+	46-32372	20	0	20	mmu-mir-107	87	51	71	1	20,	0,	51,
20	0	0	0	0	0	0	0	+	46-32372	20	0	20	mmu-mir-103-2	86	51	71	1	20,	0,	51,
20	0	0	0	0	0	0	0	+	46-32372	20	0	20	mmu-mir-103-1	86	51	71	1	20,	0,	51,
19	0	0	0	0	0	0	0	+	47-32317	19	0	19	mmu-mir-21	92	17	36	1	19,	0,	17,
20	0	0	0	0	0	0	0	+	53-30039	20	0	20	mmu-mir-26b	85	14	34	1	20,	0,	14,
